cell-50-target: 40 strokes, 799 canonical edges
cell-50-target: 80 strokes, 3199 canonical edges
cell-50-target: 120 strokes, 3656 canonical edges
cell-50-target: 160 strokes, 5596 canonical edges
cell-50-target: 200 strokes, 8420 canonical edges
cell-50-target: 240 strokes, 9680 canonical edges
cell-50-target: 280 strokes, 9700 canonical edges
cell-50-target: 320 strokes, 9720 canonical edges
cell-50-target: 360 strokes, 9740 canonical edges
cell-50-target: 400 strokes, 9760 canonical edges
cell-50-target: 440 strokes, 9780 canonical edges
cell-50-target: 480 strokes, 9800 canonical edges
cell-50-target: 520 strokes, 9820 canonical edges
cell-50-target: 560 strokes, 9840 canonical edges
cell-50-target: 600 strokes, 9860 canonical edges
cell-50-target: 640 strokes, 9880 canonical edges
cell-50-target: 680 strokes, 9900 canonical edges
cell-50-target: 720 strokes, 9920 canonical edges
cell-50-target: 760 strokes, 9940 canonical edges
cell-50-target: 800 strokes, 9960 canonical edges
cell-50-target: 840 strokes, 9980 canonical edges
cell-50-target: 880 strokes, 10000 canonical edges
cell-50-target: complete, 10000 edges, 1269010 serialized bytes
